id,createdAt,state,categoryId,categoryName,latitude,longitude,replacingText,firstPictureUrl,nearest_segment_id,nearest_segment_name,distance_to_bike_path_meters,is_cycling_related,is_cycling_related_regex,is_cycling_related_llm,subcategory,llm_confidence,explanation_de,score_keywords,score_penalty,score_distance,score_category,score_corridor,score_state,score_recency,confidence_score,cyclist_impact_label
72,2025-01-06T12:16:42.000+00:00,OPEN,8,Wilde Müllkippe 🧹,53.1736,8.2246,"Kunststoffabfälle, Tüten, Papierreste und Kunstoffriemen des Nordwest Sonntagsblatts, welches hier samstags offen gelagert und von Passanten aufgerissen wird. Regelmäßig wehen Papier und Kunststoffriemen durch die Straße. Abhilfe würde ein verschließbarer Kasten schaffen.",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/18085c1d-ce40-4233-bd00-b88266da6cd7_1747127845942_flaw_reporter_report_picture.png,22796343,Gebkenweg,12.1,False,False,False,unrelated,0.9,"Die Meldung beschreibt herumfliegenden Müll durch unsachgemäße Lagerung von Zeitungen, was ein allgemeines Sauberkeitsproblem ist.",0,-45,20,0,0,10,-10,0,Not cycling-specific
73,2025-01-06T12:21:42.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1691,8.218,Im Rabenweg Ecke Ständelweg steht seit mehreren Wochen ein grauer Mercedes mit abgelaufendem Saisonkennzeichen im öffentlichen Raum.,,23228744,,188.77,False,False,False,unrelated,1.0,Ein seit Wochen abgestelltes Fahrzeug im öffentlichen Raum ist ein allgemeines Problem und nicht spezifisch radverkehrsrelevant.,0,-45,0,15,0,10,-10,0,Not cycling-specific
75,2025-01-06T12:26:36.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1689,8.2202,Im Kattenbarg vorm Haus Nr. 30 steht ein alter roter Golf mit einem seit 2023 abgelaufendem TüV Siegel. Er steht auf einem öffentlichen Parkplatz.,,72487201,Käthe-Kollwitz-Straße,141.11,False,False,False,unrelated,1.0,"Ein altes, abgemeldetes Fahrzeug auf einem öffentlichen Parkplatz ist ein allgemeines Problem und nicht spezifisch radverkehrsrelevant.",0,-45,0,15,0,10,-10,0,Not cycling-specific
79,2025-01-06T12:41:36.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.17,8.1879,"Mehrere Schlaglöcher in der Straße in dem Bereich, in dem die Fahrräder auf der Straße fahren sollen, so dass es auch zu gefährlichen Situationen kommen kann, wenn Fahrradfahrer kurzfristig den Schlaglöchern ausweichen",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/846328c4-d5d4-4944-882f-d0682ce11d80_1747127847168_flaw_reporter_report_picture.png,333509483,Brookweg,22.85,True,True,True,pothole_damage,1.0,"Die Meldung beschreibt Schlaglöcher in dem Bereich der Straße, der für Radfahrer vorgesehen ist, und weist auf eine direkte Gefahr für diese hin.",50,0,20,15,0,10,-10,85,Confirmed cycling issue
81,2025-01-06T12:46:00.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1711,8.1921,"Ein mehrere Zentimeter tiefer Absatz in der Straße in dem Bereich, in dem die Fahrräder auf der Straße fahren sollen.",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/d6b4672e-04dc-4e5a-9646-264606379b9e_1747127847578_flaw_reporter_report_picture.png,1302143147,Brookweg,25.01,True,True,True,pothole_damage,1.0,Ein tiefer Absatz in dem für Radfahrer vorgesehenen Bereich der Straße stellt eine direkte physische Gefahr für den Radverkehr dar.,50,0,10,15,0,10,-10,75,Confirmed cycling issue
84,2025-01-06T14:44:34.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1248,8.2537,"Nach Erdarbeitem wurde der Kanal nur provisorisch mit Pflastersteinen verschlossen. Sie lösen sich stehen hoch und liegen teilweise auf der Fahrbahn.
Eine sehr gefährliche Situation",,1410325234,,238.01,True,True,True,pothole_damage,0.9,Lose Pflastersteine auf der Fahrbahn nach Erdarbeiten stellen eine Gefahr für Radfahrer dar.,50,0,0,15,0,10,-10,65,Likely cycling issue
86,2025-01-06T18:53:32.000+00:00,IN_PROCESS,10,Privates Grün an Straßen 🌲,53.1307,8.2242,Im Kirchhofsweg ragen die Sträucher eines Grundstücks erneut fast einen Meter weit auf den Geh- und Radweg.,,22813602,Kirchhofsweg,4.82,True,True,True,vegetation_block,0.95,Überhängende Sträucher auf dem Radweg behindern die Durchfahrt.,50,0,35,15,0,10,-10,100,Confirmed cycling issue
91,2025-01-07T06:30:54.000+00:00,IN_PROCESS,11,"Öffentliches Grün, Parkanlagen 🌲",53.1493,8.1939,Baum liegt quer,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/1fdba267-3747-4ded-8e58-3dbf230ee850_1747127849094_flaw_reporter_report_picture.png,10275709,,2.87,False,False,False,unrelated,0.7,Ein umgestürzter Baum in einer Parkanlage ist kein spezifisches Radverkehrsproblem.,0,-45,35,10,0,10,-10,0,Not cycling-specific
92,2025-01-07T08:44:00.000+00:00,IN_PROCESS,11,"Öffentliches Grün, Parkanlagen 🌲",53.1693,8.2106,"Erst einmal finde ich dieses Portal super und bin begeistert, wie schnell die genannten Baustellen bearbeitet werden.
Leider bin ich mir nicht sicher, ob die durchgeführten Aktionen sehr nachhaltig sind. Gefühlt sind die geschlossenen Löcher nach wenigen Tagen wieder im Ursprungszustand. Vielleicht wäre es hier vor allem bei dem bestehenden Arbeitskräftemangel sinnvoll auf ein langlebigeres Füllmaterial zu wechseln.",,281022288,,7.24,False,True,False,unrelated,0.7,Die Frage nach der Langlebigkeit von Reparaturmaterialien ist kein spezifisches Radverkehrsproblem.,0,-45,35,10,0,10,-10,0,Not cycling-specific
94,2025-01-07T09:18:59.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1438,8.2156,"Dauerhaft Wasser auf der Straße direkt an der Kreuzung Raiffeisenstr, Moslestr an der Fußgängerampel. Auf diesem Weg sind viele Radfahrer, Fußgänger und Rollstuhlfahrer unterwegs und müssen beherzt springen oder auf die Straße ausweichen.",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/6c130831-b5cf-4d5d-9b25-d26956ae695a_1747127849716_flaw_reporter_report_picture.png,1144536076,,2.17,True,True,True,pothole_damage,0.9,Dauerhaftes Wasser auf der Straße an einer Kreuzung mit Ampel beeinträchtigt Radfahrer und Fußgänger.,50,0,35,15,0,10,-10,100,Confirmed cycling issue
105,2025-01-07T16:49:57.000+00:00,IN_PROCESS,10,Privates Grün an Straßen 🌲,53.1309,8.2155,"Bewuchs auf dem Gehweg. Durch die Engstelle, verursacht durch parkende Fahrzeuge und einem schrägstehenden Baum,  kann man auch nur in gebückter Haltung passieren.",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/839adb76-038c-4588-ad7c-796a65002f89_1747127851894_flaw_reporter_report_picture.png,27046695,,50.66,True,True,True,vegetation_block,0.85,Bewuchs und parkende Fahrzeuge auf dem Gehweg behindern Radfahrer und Fußgänger.,50,0,0,15,0,10,-10,65,Likely cycling issue
106,2025-01-07T17:09:57.000+00:00,IN_PROCESS,7,Fundräder ⚡️🚲  ,53.1565,8.171,Seit mind. 1.10.2024 steht dieses Fahrrad beim Lidl und wird nicht bewegt.,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/e725db5e-ebeb-4e22-bd94-541afcdc6937_1747127852217_flaw_reporter_report_picture.png,47851813,,36.79,True,True,True,bike_parking,0.8,"Ein seit langem dort stehendes Fahrrad könnte als Fundrad gemeldet werden, was indirekt mit Fahrradabstellplätzen zusammenhängt.",50,0,10,50,0,10,-10,110,Confirmed cycling issue
111,2025-01-08T13:42:34.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1259,8.1315,"Guten Tag,
im Kavallerieweg (von Wildenloh her kommend, ca.300 m) 
befinden sich sehr große, tiefe Löcher genau im Fahrspurbereich.
Sehr gefährlich für Fahrräder und Autos ! 
Müssten dringend aufgefüllt werden !!!
Vielen Dank !",,86866707,,52.94,True,True,True,pothole_damage,0.95,"Große, tiefe Löcher im Fahrspurbereich stellen eine erhebliche Gefahr für Radfahrer dar.",50,0,0,15,0,10,-10,65,Likely cycling issue
117,2025-01-09T08:40:28.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1147,8.1883,Abgemeldeter Sprinter steht dort schon seid 3 Monaten,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/8813c861-96e8-4851-a958-0422b4bf31e0_1747127854590_flaw_reporter_report_picture.png,82939597,,148.8,False,False,False,unrelated,0.7,"Ein abgemeldeter Sprinter ist ein allgemeines Ordnungsrechtsproblem, kein spezifisches Radverkehrsproblem.",0,-45,0,15,0,10,-10,0,Not cycling-specific
126,2025-01-10T11:02:37.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1248,8.2537,Zum dritten oder vierten Mal innerhalb weniger Wochen! Ich würde vorschlagen das Loch anstelle mit Steinen doch wieder mit Asphalt zu schließen. Gefährliche Situation,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/f6ea1572-1e0c-4d53-ba00-7e9584e49b5d_1747127855943_flaw_reporter_report_picture.png,1410325234,,238.01,True,True,True,pothole_damage,0.9,Ein wiederholt provisorisch verschlossenes Loch stellt eine gefährliche Situation für Radfahrer dar.,50,0,0,15,0,10,-10,65,Likely cycling issue
133,2025-01-11T09:25:36.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1258,8.2493,"Auf dem Parkplatz befinden sich drei PKW ohne Kennzeichen. Der Sachverhalt besteht seit 5 Wochen.
MfG Nils Huschke",,360036685,Paul-Krey-Straße,53.93,False,False,False,unrelated,0.7,"Abgemeldete PKW auf einem Parkplatz sind ein allgemeines Ordnungsrechtsproblem, kein spezifisches Radverkehrsproblem.",0,-45,0,15,0,10,-10,0,Not cycling-specific
140,2025-01-11T18:14:19.000+00:00,IN_PROCESS,11,"Öffentliches Grün, Parkanlagen 🌲",53.0994,8.2333,Im Wasserzug am Dwaschweg zwischen Bümmerst.Tredde und C.-F.Gaus-Str. blockiert ein Laub-Gestrüpphaufen den Abfluss.,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/7fa1198d-6d37-48f7-89d0-be6dd1ebb409_1747127858432_flaw_reporter_report_picture.png,24538575,Dwaschweg,3.21,False,False,False,unrelated,0.7,"Ein Laub-Gestrüpphaufen, der einen Abfluss blockiert, ist kein spezifisches Radverkehrsproblem.",0,-45,35,10,0,10,-10,0,Not cycling-specific
141,2025-01-12T10:21:30.000+00:00,IN_PROCESS,8,Wilde Müllkippe 🧹,53.1193,8.2599,Der Pendlerparkplatz ist voll Müll.,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/3ac1828b-9efe-40ef-b86d-5a31638f04d8_1747127858746_flaw_reporter_report_picture.png,1337587148,,3.96,False,False,False,unrelated,0.7,"Müll auf einem Pendlerparkplatz ist ein allgemeines Sauberkeitsproblem, kein spezifisches Radverkehrsproblem.",0,-45,35,0,0,10,-10,0,Not cycling-specific
142,2025-01-12T14:56:03.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.136,8.2173,Diverse Beeteinfassungen seit >1 Jahr kaputt. Poller kaputt gefahren,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/2127571b-1e3b-4a06-96aa-32404d44b2f8_1747127859227_flaw_reporter_report_picture.png,332352639,,2.03,True,True,True,pothole_damage,0.8,Beschädigte Beeteinfassungen und Poller können Radfahrer gefährden.,50,0,35,15,0,10,-10,100,Confirmed cycling issue
144,2025-01-12T20:59:46.000+00:00,IN_PROCESS,4,Verkehrszeichen ⚠️  ,53.1057,8.2069,"Die nächtliche Beleuchtung des Sperrbalkens, stadteinwärts, leuchtet im linken Bereich überhaupt nicht oder so schwach, dass er nicht zu erkennen ist.",,335352241,Cloppenburger Straße,21.77,False,False,False,unrelated,0.7,Eine defekte Beleuchtung eines Sperrbalkens ist kein spezifisches Radverkehrsproblem.,0,-45,20,15,0,10,-10,0,Not cycling-specific
145,2025-01-13T11:37:39.000+00:00,IN_PROCESS,11,"Öffentliches Grün, Parkanlagen 🌲",53.1887,8.2136,"Umgekippte Bäume. Ein Baum hängt direkt über der Station von der Fahrradroute ""Das Geheimnis des Hofgärtners""",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/c75ab15c-01a5-4b00-8d8b-1ec183d0dc52_1747127860024_flaw_reporter_report_picture.png,73554337,,22.4,True,True,True,vegetation_block,0.9,"Umgekippte Bäume können Radwege blockieren oder gefährlich machen, insbesondere wenn sie über eine Fahrradroute hängen.",50,0,20,10,0,10,-10,80,Confirmed cycling issue
146,2025-01-13T14:05:31.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1283,8.1806,Löcher in der Straße,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/f86c41a2-76b7-484e-905b-b9e10a5c7da0_1747127860405_flaw_reporter_report_picture.png,32043964,Edewechter Landstraße,118.98,True,True,True,pothole_damage,0.9,Löcher in der Straße stellen eine Gefahr für Radfahrer dar und können zu Schäden führen.,50,0,0,15,0,10,-10,65,Likely cycling issue
156,2025-01-14T13:34:48.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1462,8.1723,Dieser Weg in die Haarenniederung ist bei Regen nicht begehbar. Siehe Foto,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/eb486500-0109-47ba-bca8-cf6e012d6a06_1747127862383_flaw_reporter_report_picture.png,22938860,Quellenweg,48.55,True,True,True,pothole_damage,0.9,"Ein nicht begehbarer Weg bei Regen deutet auf erhebliche Schäden oder Verstopfungen hin, die auch Radfahrer beeinträchtigen können.",50,0,10,15,0,10,-10,75,Confirmed cycling issue
164,2025-01-14T19:29:18.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1326,8.2185,Großes Schlagloch kurz vor der Kreuzung Niedersachsendamm stadteinwärts,,285268662,Westfalendamm,0.16,True,True,True,pothole_damage,0.9,Ein großes Schlagloch auf einer Straße ist eine direkte Gefahr für Radfahrer.,50,0,35,15,0,10,-10,100,Confirmed cycling issue
168,2025-01-15T12:48:18.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1653,8.224,"Schagenweg 33, 26127 Oldenburg-Nadorst. 
Vor dem Wohnhaus ist die Straßen stark abfällig. Dadurch entsteht eine Kuhle zum Grundstücksübergang. Diese Kuhle ist oft mit Wasser und Schlamm gefüllt, bei niedrigen Temperaturen ist eine große Eis-Schicht vorhanden. 
In dem Wohnhaus leben drei Menschen mit Beeinträchtigung. Diese sind aufgrund der Gegebenheiten einem erhötem Sturzrisiko ausgesetzt und haben Probleme mit der Überquerung der genannten Kuhle. 
Viele Nachbarhäuser hatten ähnliche Probleme, dort wurde Teer in die Kuhle geschüttet (siehe angehangenes Bild) um den Boden zu ebnen. 
Die Situation stellt eine dauerhafte Belastung für die Bewohner dar und ist gerade in Wintermonaten gefährlich für jene.",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/2b89050a-00df-4026-9cf7-73215d168f68_1747127866759_flaw_reporter_report_picture.png,508589065,,131.31,True,True,True,pothole_damage,0.9,"Die beschriebene Kuhle mit Wasser und Schlamm oder Eis stellt eine erhebliche Sturzgefahr dar, insbesondere für Menschen mit Beeinträchtigungen und potenziell auch für Radfahrer, die diese Stelle passieren müssen.",50,0,0,15,0,10,-10,65,Likely cycling issue
169,2025-01-15T16:49:45.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1751,8.2069,"Loch im Burgersteig auf Seite des Bürgerbusch. Erneute Meldung. Letztes Mal konnte das angeblich nicht gefunden werden. Bitte genau schauen, das ist nicht zu übersehen. Danke.",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/c3ffc2e4-5939-4192-be1d-dd165bcb1376_1747127867338_flaw_reporter_report_picture.png,72492484,Scheideweg,0.52,True,True,True,pothole_damage,0.9,"Ein Loch im Bürgersteig, das nicht zu übersehen ist, kann auch Radfahrer beeinträchtigen, die auf dem Gehweg fahren müssen oder diesen Bereich kreuzen.",50,0,35,15,0,10,-10,100,Confirmed cycling issue
171,2025-01-15T17:36:29.000+00:00,IN_PROCESS,10,Privates Grün an Straßen 🌲,53.1421,8.2065,Grundstück 26122 Oldenburg / Steinweg Nr. 28 - Zweige an der Auffahrt ragen weit auf den Gehweg. Behinderung für Fußgänger.,,10792046,Steinweg,48.73,True,True,True,vegetation_block,0.8,"Überhängende Zweige auf dem Gehweg können Radfahrer behindern, insbesondere wenn sie auf dem Gehweg fahren müssen.",50,0,10,15,0,10,-10,75,Confirmed cycling issue
186,2025-01-16T20:45:28.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1696,8.262,"Die gesamte Fahrbahnbreite ist mehrere Meter stark mit defekten übersäht!
Zwischen der AB Abfahrt Ohmstede- es links nach der Butjadinger Str. ab geht!
Stadtauswärts
Das muß umgehend behoben werden!",,33936367,,2.01,True,True,True,pothole_damage,0.9,"Eine Fahrbahnbreite, die mit Defekten übersät ist, stellt eine erhebliche Gefahr für Radfahrer dar.",50,0,35,15,0,10,-10,100,Confirmed cycling issue
198,2025-01-17T16:18:15.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1351,8.2181,"Absackungen des Pflasters. Flurstück gehört der Stadt Oldenburg, Fallrohr zu Damm 20. Entwässerung vermutlich unterirdisch nicht korrekt angeschlossen.",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/a95bd98c-be30-4b4b-a5f9-16542f5bd853_1747127872539_flaw_reporter_report_picture.png,332352634,,10.43,True,True,True,pothole_damage,0.9,Absackungen des Pflasters können eine Stolpergefahr darstellen und sind auch für Radfahrer problematisch.,50,0,20,15,0,10,-10,85,Confirmed cycling issue
202,2025-01-17T22:45:21.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1555,8.2334,die Str. ist in einem sehr schlechten Zustand und braucht dringend eine neue Asphalt Decke!,,549559973,,55.09,True,True,True,pothole_damage,0.9,Eine Straße in sehr schlechtem Zustand mit der Notwendigkeit einer neuen Asphaltdecke beeinträchtigt die Sicherheit und den Komfort von Radfahrern.,50,0,0,15,0,10,-10,65,Likely cycling issue
214,2025-01-19T16:02:48.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1285,8.1588,"PKW ohne Kennzeichen im öffentlichen Raum abgestellt.
Fahrzeugidentnr sichtbar.",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/187ad518-ff9e-48c1-a752-8c3aa4f10552_1747127875829_flaw_reporter_report_picture.png,50503971,,73.67,True,False,True,illegal_parking_obstruction,0.8,Ein verwaistes Auto kann den Radweg oder die Fahrbahn blockieren und stellt eine Gefahrenquelle dar.,50,0,0,15,0,10,-10,65,Likely cycling issue
215,2025-01-19T16:21:49.000+00:00,OPEN,8,Wilde Müllkippe 🧹,53.1376,8.1875,Container Standort Ecke Gardelerweg total überfüllt mit Textilien.,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/d23ee831-06ef-49cd-83af-21ef5ca4294a_1747127876184_flaw_reporter_report_picture.png,35215793,,169.09,False,False,False,unrelated,0.7,Überfüllte Container mit Textilien sind ein allgemeines Müllproblem und nicht spezifisch für Radfahrer.,0,-45,0,0,0,10,-10,0,Not cycling-specific
229,2025-01-20T11:47:32.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.1834,8.1906,"Am Heidkamper Weg 20/20a befindet sich eine Hecke, die lange Zeit nicht geschnitten wurde, so dass diese in den Straßenraum ragt. Der Begegnungsverkehr von zwei Autos in diesem Bereich führt dazu, dass Autos auf die Berme auf der gegenüber liegenden Straßenseite ausweichen. Die Berme ist dadurch bereits beschädigt. Entlang dieser Berme führt ein Graben, der erst im letzten Jahr saniert/befestigt wurde. Hier könnten erneut Schäden auftreten, weil das Gewicht der Autos die Berme Richtung Graben drückt.
Außerdem handelt es sich hier um einen Schulweg und die Kinder sind besonders in der dunklen Jahreszeit gefährdet.
Es ist nicht das erste Mal, dass ich diesen Mangel melde.",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/13f7c4f2-761e-4e4e-8923-f224ca8de546_1747127878792_flaw_reporter_report_picture.png,283631711,Am Alexanderhaus,228.43,True,True,True,vegetation_block,0.9,"Eine in den Straßenraum ragende Hecke behindert den Begegnungsverkehr und kann Radfahrer gefährden, insbesondere auf einem Schulweg.",50,0,0,15,0,10,-10,65,Likely cycling issue
231,2025-01-20T12:58:00.000+00:00,IN_PROCESS,3,Straßen  🚧 ,53.0927,8.2354,Gulli und Pflasterung abgesackt,https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/6cda99fd-4cec-40ea-ab44-8a4a4101226f_1747127879250_flaw_reporter_report_picture.png,24834786,,90.24,True,True,True,pothole_damage,0.9,Ein abgesackter Gulli und die Pflasterung stellen eine Gefahr für Radfahrer dar.,50,0,0,15,0,10,-10,65,Likely cycling issue
233,2025-01-20T18:46:57.000+00:00,IN_PROCESS,10,Privates Grün an Straßen 🌲,53.1643,8.1774,"Überwucherung an der Bushaltestelle BBS Wechloy Steig A. 
Der Bewuchs ist derart weit über die Pflasterung gewachsen das der Blindenleitstreifen nicht mehr vorhanden ist. 
Da sehe ich dringenden Bedarf!",https://dialog-box-prod-bucket.s3.eu-central-1.amazonaws.com/images/oldenburg/4a93705a-1b3e-4241-9b3a-f39ed13a7d55_1747127879617_flaw_reporter_report_picture.png,24633993,,63.19,True,True,True,vegetation_block,0.9,"Überwucherung, die den Blindenleitstreifen und den Gehweg blockiert, kann auch Radfahrer beeinträchtigen, die auf dem Gehweg fahren müssen oder diesen Bereich passieren.",50,0,0,15,0,10,-10,65,Likely cycling issue
